Liste,Section,Genre,Nom,Position,Tete de liste
ANSAM POU PEYI NOU,Sud,f,Anne BERISSON,16,0
RENAISSANCE MARTINIQUE,Centre,m,Florent GRABIN,1,0
RENAISSANCE MARTINIQUE,Centre,f,Otilia FERREIRA,2,0
RENAISSANCE MARTINIQUE,Centre,m,Emmanuel DE REYNAL,3,0
RENAISSANCE MARTINIQUE,Centre,f,Jacqueline JOUGON,4,0
RENAISSANCE MARTINIQUE,Centre,m,Yvon JOSEPH-HENRI,5,0
RENAISSANCE MARTINIQUE,Centre,f,Victoire PAROT,6,0
RENAISSANCE MARTINIQUE,Centre,m,Francky FOURLIN,7,0
RENAISSANCE MARTINIQUE,Centre,f,Ellen RICHOL,8,0
RENAISSANCE MARTINIQUE,Centre,m,Jérôme BROCHARD,9,0
RENAISSANCE MARTINIQUE,Centre,f,Véronique ANTONI,10,0
RENAISSANCE MARTINIQUE,Centre,m,Julien GOUAIT,11,0
RENAISSANCE MARTINIQUE,Centre,f,Linda LAVIER,12,0
RENAISSANCE MARTINIQUE,Centre,m,Olivier PERITO,13,0
RENAISSANCE MARTINIQUE,Centre,f,Marie-Line EUPHROSINE,14,0
RENAISSANCE MARTINIQUE,Centre,m,Jean-Claude JEAN-BAPTISTE-EDOUARD,15,0
RENAISSANCE MARTINIQUE,Centre,f,Katia Agnès FRANCIL,16,0
RENAISSANCE MARTINIQUE,Centre,m,Jean-Claude VERJUT,17,0
RENAISSANCE MARTINIQUE,Fort-de-France,m,Max ORVILLE,1,1
RENAISSANCE MARTINIQUE,Fort-de-France,f,Christelle SAMOT,2,0
RENAISSANCE MARTINIQUE,Fort-de-France,m,Thierry LESEL,3,0
RENAISSANCE MARTINIQUE,Fort-de-France,f,Marie-Béatrice BALMY,4,0
RENAISSANCE MARTINIQUE,Fort-de-France,m,Pierre SANDRESCHI,5,0
RENAISSANCE MARTINIQUE,Fort-de-France,f,Betty BALUSTRE,6,0
